Ear Tag,Breed,Sex,Date Of Birth,Date Of Disposal,Disposed Of To,Date Of Death,Age(mths),
UK107189103776,LONGHORN X,Bull,24/02/2021,,,,1,
UK107189203777,LONGHORN X,Female,24/02/2021,,,,1,
UK107189303778,LONGHORN X,Female,24/02/2021,,,,1,
UK107189403779,LONGHORN X,Bull,24/02/2021,,,,1,
UK107189503780,LONGHORN X,Bull,24/02/2021,,,,1,
UK107189103783,HOLSTEIN FRIESIAN X,Female,24/02/2021,,,10/04/2021,1,
UK107189203784,HOLSTEIN FRIESIAN,Female,24/02/2021,,,,1,
UK107189303785,Swedish Red X,Female,24/02/2021,,,,1,
UK107189703810,LONGHORN X,Female,24/02/2021,,,,1,
UK107189603781,LONGHORN X,Bull,25/02/2021,,,,1,
UK107189703782,LONGHORN X,Bull,25/02/2021,,,,1,
UK107189503787,LONGHORN X,Female,25/02/2021,,,10/04/2021,1,
UK107189703789,LONGHORN X,Bull,25/02/2021,,,,1,
UK107189603788,JERSEY X,Female,25/02/2021,,,,1,
UK107189303792,JERSEY X,Female,25/02/2021,,,,1,
UK107189403793,LONGHORN X,Bull,25/02/2021,,,24/03/2021,0,
UK107189503794,LONGHORN X,Female,25/02/2021,,,,1,
UK107189103790,JERSEY X,Bull,26/02/2021,,,18/03/2021,0,
UK107189103804,JERSEY X,Female,26/02/2021,,,,1,
UK107189603795,JERSEY X,Female,26/02/2021,,,,1,
UK107189203791,JERSEY X,Female,01/03/2021,,,,1,
UK107189203805,JERSEY X,Female,01/03/2021,,,,1,
UK107189303806,LONGHORN X,Bull,01/03/2021,,,,1,
UK107189403807,LONGHORN X,Bull,01/03/2021,,,,1,
UK107189703796,LONGHORN X,Bull,01/03/2021,,,,1,
UK107189103797,LONGHORN X,Female,01/03/2021,,,,1,
UK107189203798,LONGHORN X,Female,02/03/2021,,,,1,
UK107189303799,LONGHORN X,Female,02/03/2021,,,,1,
UK107189203812,JERSEY X,Female,03/03/2021,,,,1,
UK107189403800,JERSEY X,Female,04/03/2021,,,,1,
UK107189503801,JERSEY X,Female,04/03/2021,,,,1,
UK107189603802,LONGHORN X,Female,04/03/2021,,,,1,
UK107189703803,JERSEY X,Female,04/03/2021,,,01/04/2021,0,
UK107189503808,Swedish Red X,Bull,05/03/2021,,,12/03/2021,0,
UK107189603809,JERSEY X,Female,05/03/2021,,,,1,
UK107189103811,JERSEY X,Female,05/03/2021,,,10/04/2021,1,
UK107189203819,JERSEY X,Female,05/03/2021,,,,1,
UK107189303813,ABERDEEN ANGUS X,Bull,08/03/2021,,,24/03/2021,0,
UK107189103818,LONGHORN X,Bull,08/03/2021,,,,1,
UK107189403814,JERSEY X,Female,09/03/2021,,,,1,
UK107189603816,LONGHORN X,Bull,09/03/2021,,,,1,
UK107189703817,JERSEY X,Female,09/03/2021,,,,1,
UK107189703831,JERSEY X,Female,09/03/2021,,,,1,
UK107189603830,JERSEY X,Female,10/03/2021,,,,1,
UK107189403828,JERSEY X,Female,11/03/2021,,,10/04/2021,1,
UK107189503829,JERSEY X,Bull,11/03/2021,,,,1,
UK107189303820,JERSEY X,Female,12/03/2021,,,01/04/2021,0,
UK107189403821,HOLSTEIN FRIESIAN,Female,12/03/2021,,,,1,
UK107189503822,JERSEY X,Female,15/03/2021,,,,0,
UK107189603823,LONGHORN X,Female,15/03/2021,,,,0,
UK107189203826,LONGHORN X,Bull,16/03/2021,,,,0,
UK107189303827,HOLSTEIN FRIESIAN,Bull,16/03/2021,,,10/04/2021,0,
UK107189303183,HOLSTEIN FRIESIAN,Female,12/12/2018,,,,28,
UK107189703824,HOLSTEIN FRIESIAN,Bull,19/03/2021,,,,0,
UK107189103825,HOLSTEIN FRIESIAN,Female,19/03/2021,,,01/04/2021,0,
UK107189503836,JERSEY X,Female,19/03/2021,,,,0,
UK107189603837,JERSEY X,Bull,19/03/2021,,,,0,
UK107189703838,JERSEY X,Female,19/03/2021,,,10/04/2021,0,
UK107189103839,JERSEY X,Female,20/03/2021,,,,0,
UK107189103832,JERSEY X,Female,22/03/2021,,,,0,
UK107189203833,JERSEY X,Female,22/03/2021,,,,0,
UK107189303834,Aberdeen-Angus,Bull,22/03/2021,,,,0,
